---,Instructions,Sentence,RightAnswer,Answers
1,Grammar Exercise 01,まいにちしんぶん　_______ 読みます。,2,"(""へ"",""を"",""に"",""が"")"
2,Grammar Exercise 01,田中さんは　_______ 来ていませんよ。,3,"(""もう"",""だけ"",""まだ"",""まで"")"
3,Grammar Exercise 01,ナイフ _______ パンをきりました。,1,"(""で"",""を"",""に"",""が"")"
4,Grammar Exercise 01,家にかえってねたほう _______ いいですよ。,3,"(""と"",""に"",""が"",""は"")"
5,Grammar Exercise 01,お母さん、もうあそびに _______ もいいですか？,2,"(""行く"",""行って"",""行った"",""行っている"")"
6,Grammar Exercise 01,すいようびには日本語のテスト _______ 。,4,"(""はいます"",""はあります"",""がいます"",""があります"")"
7,Grammar Exercise 01,あなたのかみは _______ よ。,4,"(""長ってすぎます"",""長くすぎます"",""長いすぎます"",""長すぎます"")"
8,Grammar Exercise 01,わたしはけいかんに　_______ です。,1,"(""なりたい"",""したい"",""いきたい"",""いたい"")"
9,Grammar Exercise 01,わたしは、これから _______ に行きます。,3,"(""およぐ"",""およいで"",""およぎ"",""およいだ"")"
10,Grammar Exercise 01,あの人たちはどこに行っているん _______ 。,1,"(""だろう"",""つもりだ"",""から"",""けれども"")"
11,Grammar Exercise 02,この本は _______ 読みました。,2,"(""どう"",""もう"",""も"",""まだ"")"
12,Grammar Exercise 02,山田さんはたいへんいい人ですよ。なにもわるいことはきいたことが _______ わ。,4,"(""しません"",""いません"",""なりません"",""ありません"")"
13,Grammar Exercise 02,ここにじゅうしょを書いて _______ か？,3,"(""ください"",""くださいます"",""くださいません"",""くださいましょうか"")"
14,Grammar Exercise 02,あなたはあそこへ行って _______ いけませんよ。,2,"(""が"",""は"",""と"",""に"")"
15,Grammar Exercise 02,どれ _______ ここではたらいていましたか？,4,"(""まで"",""もう"",""より"",""くらい"")"
16,Grammar Exercise 02,わたしはおんがくをきく_______ 好きです。,1,"(""のが"",""ので"",""のに"",""のは"")"
17,Grammar Exercise 02,わたしは一人でクリスマスをすごす _______ です。,2,"(""たい"",""つもり"",""だろう"",""ほう"")"
18,Grammar Exercise 02,_______ ながら水を飲まないでください。,3,"(""あるく"",""あるいて"",""あるき"",""あるかな"")"
19,Grammar Exercise 02,れいぞうこにビールが入っている _______ 、そこにすわって飲みましょう。,1,"(""から"",""と"",""なら"",""たら"")"
20,Grammar Exercise 02,わたしのことをいつまでも _______ ください。,4,"(""わすれない"",""わすれないて"",""わすれなくて"",""わすれないで"")"
